"ItemBarcode","BrowseAuthor","BrowseTitle","LastCheckOutRenewDate","ItemYTDCircCount","PrevYearCircCount","ItemLifetimeCircCount"
"39870000840653","Bradley, Marion Zimmer, author.","Thunderlord","4/21/2017 1:33:55 PM","1","1","2"
"39870000820945","Goodkind, Terry.","Severed souls","4/2/2016 12:00:00 AM","0",,"1"
"39870000828757","Bujold, Lois McMaster, author.","Penric's demon : a fantasy novella in the world of the five gods","9/12/2016 4:17:56 PM","0","2","2"
"39870000827585","Baxter, Stephen, author.","The Medusa chronicles : a novel","7/13/2016 4:32:44 PM","0","3","3"
"39870000840596","Card, Orson Scott, author.","The Swarm","1/10/2017 4:12:35 PM","1","3","4"
"39870000828328","Pratchett, Terry, author.","The long cosmos","8/31/2016 5:37:48 PM","0","1","1"
"39870000829417","Stross, Charles, author.","The nightmare stacks","10/19/2016 2:05:33 PM","0","3","3"
"39870000811746","Foster, Alan Dean, 1946- author.","Star wars : the force awakens","3/4/2017 10:55:01 AM","1","2","5"
"39870000821539","Lackey, Mercedes, author.","Silence : a novel of the SERRAted Edge",,"0",,"0"
"39870000822941","Salvatore, R. A., 1959-","Maestro","5/27/2017 4:03:40 PM","3",,"3"
"39870000826884","Brooks, Terry, author.","The sorcerer's daughter : the defenders of Shannara","7/25/2016 1:39:30 PM","0","4","4"
"39870000815333","Brown, Pierce, 1988- author.","Morning star","1/7/2017 1:56:06 PM","1","1","2"
"39870000269309","Adams, Douglas, 1952-2001.","The hitchhiker's trilogy","4/28/2017 3:40:22 PM","3","2","5"
"39870000802422","Martin, George R. R., author.","A knight of the Seven Kingdoms","6/8/2017 3:08:40 PM","2","4","7"
"39870000811886","Sanderson, Brandon, author.","The bands of mourning : a Mistborn novel","10/19/2016 2:05:35 PM","0","2","2"
"39870000809302","Weis, Margaret.","Doom of the dragon",,"0",,"0"
"39870000812629","Bujold, Lois McMaster, author.","Gentleman Jole and the Red Queen","5/4/2016 12:00:00 AM","0",,"1"
"39870000798091","Wendig, Chuck, author.","Star wars, aftermath","3/21/2017 4:07:13 PM","3",,"4"
"39870000795816","Lawhead, Stephen R., 1950-","The iron lance","11/4/2015 12:00:00 AM","0",,"1"
"39870000796491","Lawhead, Stephen R., 1950-","The mystic rose","11/23/2015 12:00:00 AM","0",,"1"
"39870000794595","Jemisin, N. K., author.","The fifth season","7/14/2016 5:22:46 PM","0","1","1"
"39870000794165","Britain, Kristen, author.","Mirror sight","9/15/2016 3:54:40 PM","0","2","3"
"39870000794884","McCammon, Robert R., author.","The Border","9/2/2015 12:00:00 AM","0",,"1"
"39870000264961","Bova, Ben, 1932- author.","Power surge","8/5/2016 2:59:06 PM","0","1","2"
"39870000801846","Bova, Ben, 1932-","Death wave","12/26/2015 12:00:00 AM","0",,"3"
"36870000793137","Hobb, Robin, author.","Fool's Assassin","3/12/2016 12:00:00 AM","0",,"1"
"39870000792508","Hobb, Robin, author.","Blood of dragons","10/3/2015 12:00:00 AM","0",,"1"
"39870000791880","Leicht, Stina.","Cold iron","12/2/2016 4:19:13 PM","0","1","1"
